planet_name,NOBS,REF,RMS,URL
HD 217107 c,207.0,Wright 2009,11.3027,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 217786 b,15.0,Moutou 2011,2.5,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 218566 b,56.0,Meschiari 2011,8.41,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 219077 b,,,,
HD 219134 b,,,,
HD 219134 c,,,,
HD 219134 d,,,,
HD 219134 e,,,,
HD 219134 g,,,,
HD 219134 h,,,,
HD 219415 b,,,,
HD 219828 b,22.0,Melo 2007,1.7,http://adsabs.harvard.edu/abs/2007A%26A...467..721M
HD 219828 c,,,,
HD 220074 b,32.0,Lee 2013,,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L
HD 220689 b,,,,
HD 220773 b,43.0,Robertson 2012,6.57,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 220842 b,,,,
HD 221287 b,26.0,Naef 2007,8.5,http://adsabs.harvard.edu/abs/2007A%26A...470..721N
HD 221585 b,,,,
HD 222155 b,44.0,Boisse 2012,9.9,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B
HD 222582 b,37.0,Butler 2006,3.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 224693 b,24.0,Johnson 2006,4.07,http://adsabs.harvard.edu/abs/2006ApJ...647..600J
HD 22781 b,32.0,Diaz 2012,,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D
HD 23079 b,19.0,Butler 2006,4.8,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 23127 b,34.0,O'Toole 2007,12.6,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O
HD 231701 b,17.0,Fischer 2007,5.9,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
HD 233604 b,,,,
HD 23596 b,108.0,Wittenmyer 2009,8.7,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 240210 b,38.0,Niedzielski 2009,38.9,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
HD 240237 b,40.0,Gettel 2012,36.0,http://adsabs.harvard.edu/abs/2012ApJ...745...28G
HD 24040 b,100.0,Boisse 2012,5.46237,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B
HD 25171 b,24.0,Moutou 2011,3.4,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 2638 b,28.0,Moutou 2005,3.3,http://adsabs.harvard.edu/abs/2005A%26A...439..367M
HD 27442 b,,,,
HD 27631 b,,,,
HD 27894 b,20.0,Moutou 2005,4.0,http://adsabs.harvard.edu/abs/2005A%26A...439..367M
HD 28185 b,15.0,Minniti 2009,7.33,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M
HD 28254 b,32.0,Naef 2010,2.19,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 283668 b,,,,
HD 285507 b,,Quinn 2014,,http://adsabs.harvard.edu/abs/2014ApJ...787...27Q
HD 28678 b,30.0,Johnson 2011,6.1,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 290327 b,18.0,Naef 2010,1.6,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 30177 b,22.0,Butler 2006,10.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 30177 c,,,,
HD 30562 b,45.0,Fischer 2009,7.56,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 30669 b,,,,
HD 30856 b,16.0,Johnson 2011,5.2,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 31253 b,39.0,Meschiari 2011,4.23,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 31527 b,,,,
HD 31527 c,,,,
HD 31527 d,,,,
HD 32518 b,58.0,Dollinger 2009,18.0,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D
HD 330075 b,21.0,Pepe 2004,2.0,http://adsabs.harvard.edu/abs/2004A%26A...423..385P
HD 33142 b,33.0,Johnson 2011,8.3,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 33283 b,25.0,Johnson 2006,3.6,http://adsabs.harvard.edu/abs/2006ApJ...647..600J
HD 34445 b,97.0,Howard 2010,7.31,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H
HD 35759 b,,,,
HD 37124 b,66.0,Wright 2011,4.03,http://adsabs.harvard.edu/abs/2011ApJ...730...93W
HD 37124 c,66.0,Wright 2011,4.03,http://adsabs.harvard.edu/abs/2011ApJ...730...93W
HD 37124 d,66.0,Wright 2011,4.03,http://adsabs.harvard.edu/abs/2011ApJ...730...93W
HD 37605 b,101.0,Wang 2012,7.61,http://adsabs.harvard.edu/abs/2012ApJ...761...46W
HD 37605 c,101.0,Wang 2012,7.61,http://adsabs.harvard.edu/abs/2012ApJ...761...46W
HD 38283 b,52.0,Tinney 2011,4.3,http://adsabs.harvard.edu/abs/2011ApJ...732...31T
HD 38529 b,175.0,Wright 2009,12.4633,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 38529 c,175.0,Wright 2009,12.4633,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 38801 b,21.0,Harakawa 2010,6.5,http://adsabs.harvard.edu/abs/2010ApJ...715..550H
HD 38858 b,,,,
HD 39091 b,42.0,Butler 2006,5.5,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 39194 b,,,,
HD 39194 c,,,,
HD 39194 d,,,,
HD 39392 b,,,,
HD 40307 b,135.0,Mayor 2009,0.85,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
HD 40307 c,135.0,Mayor 2009,0.85,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
HD 40307 d,135.0,Mayor 2009,0.85,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
HD 40307 e,,,,
HD 40307 f,,,,
HD 40307 g,,,,
HD 40979 b,160.0,Wittenmyer 2009,20.3,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 41004 A b,,,,
HD 4113 b,130.0,Tamuz 2008,8.4,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T
HD 4203 b,23.0,Butler 2006,4.1,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 4203 c,,,,
HD 4208 b,41.0,Butler 2006,3.4,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 4308 b,41.0,Udry 2006,1.3,http://adsabs.harvard.edu/abs/2006A%26A...447..361U
HD 4313 b,28.0,Johnson 2010,3.7,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 43197 b,33.0,Naef 2010,1.42,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 43691 b,36.0,Da Silva 2007,10.0,http://adsabs.harvard.edu/abs/2007A%26A...473..323D
HD 44219 b,46.0,Naef 2010,2.39,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 45184 b,,,,
HD 45350 b,38.0,Endl 2006,7.3,http://adsabs.harvard.edu/abs/2006AJ....131.3131E
HD 45364 b,58.0,Correia 2009,1.416,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
HD 45364 c,58.0,Correia 2009,1.416,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
HD 45652 b,44.0,Santos 2008,8.9,http://adsabs.harvard.edu/abs/2008A%26A...487..369S
HD 46375 b,50.0,Butler 2006,4.2,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 47186 b,66.0,Bouchy 2009,0.91,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 47186 c,66.0,Bouchy 2009,0.91,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 4732 b,67.0,Sato 2013,,http://adsabs.harvard.edu/abs/2013ApJ...762....9S
HD 4732 c,67.0,Sato 2013,,http://adsabs.harvard.edu/abs/2013ApJ...762....9S
HD 47536 b,,,,
HD 48265 b,17.0,Minniti 2009,5.14,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M
HD 49674 b,39.0,Butler 2006,4.7,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 50499 b,37.0,Vogt 2005,4.62624,http://adsabs.harvard.edu/abs/2005ApJ...632..638V
HD 50554 b,51.0,Butler 2006,12.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 51608 b,,,,
HD 51608 c,,,,
HD 5319 b,30.0,Robinson 2007,6.08,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R
HD 5319 c,81.0,Giguere 2015,7.18,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 5583 b,,,,
HD 5608 b,43.0,Sato 2012,6.3,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
HD 564 b,,,,
HD 5891 b,54.0,Johnson 2011,28.4,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 59686 A b,,,,
HD 60532 b,147.0,Desort 2008,4.4,http://adsabs.harvard.edu/abs/2008A%26A...491..883D
HD 60532 c,147.0,Desort 2008,4.4,http://adsabs.harvard.edu/abs/2008A%26A...491..883D
HD 62509 b,,,,
HD 63454 b,34.0,Kane 2011,6.84,http://adsabs.harvard.edu/abs/2011ApJ...737...58K
HD 63765 b,108.0,Segransan 2011,3.41,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HD 6434 b,130.0,Mayor 2004,10.6,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 66141 b,,,,
HD 66428 b,29.0,Butler 2006,2.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 6718 b,22.0,Naef 2010,1.79,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 68988 b,28.0,Butler 2006,13.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 69830 b,74.0,Lovis 2006,0.81,http://adsabs.harvard.edu/abs/2006Natur.441..305L
HD 69830 c,74.0,Lovis 2006,0.81,http://adsabs.harvard.edu/abs/2006Natur.441..305L
HD 69830 d,74.0,Lovis 2006,0.81,http://adsabs.harvard.edu/abs/2006Natur.441..305L
HD 70642 b,28.0,Butler 2006,4.3,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 7199 b,88.0,Dumusque 2011,2.63,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D
HD 72659 b,50.0,Moutou 2011,3.7,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 73256 b,40.0,Udry 2003,14.8,http://adsabs.harvard.edu/abs/2003A%26A...407..679U
HD 73267 b,39.0,Moutou 2009,1.7,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 73526 b,30.0,Tinney 2006,7.9,http://adsabs.harvard.edu/abs/2006ApJ...647..594T
HD 73526 c,30.0,Tinney 2006,7.9,http://adsabs.harvard.edu/abs/2006ApJ...647..594T
HD 73534 b,30.0,Valenti 2009,4.0,http://adsabs.harvard.edu/abs/2009ApJ...702..989V
HD 74156 b,206.0,Meschiari 2011,12.8,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 74156 c,206.0,Meschiari 2011,12.8,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 7449 b,142.0,Dumusque 2011,3.81,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D
HD 7449 c,,,,
HD 75289 b,30.0,Butler 2006,6.6,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 75898 b,20.0,Robinson 2007,5.48,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R
HD 76700 b,35.0,Butler 2006,6.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 77065 b,,,,
HD 77338 b,32.0,Jenkins 2013,1.74,http://adsabs.harvard.edu/abs/2013ApJ...766...67J
HD 7924 b,93.0,Fulton 2015,2.78,http://adsabs.harvard.edu/abs/2015ApJ...805..175F
HD 7924 c,,Fulton 2015,,http://adsabs.harvard.edu/abs/2015ApJ...805..175F
HD 7924 d,,Fulton 2015,,http://adsabs.harvard.edu/abs/2015ApJ...805..175F
HD 79498 b,53.0,Robertson 2012,5.13,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 80606 b,46.0,Moutou 2009,5.42074,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M
HD 81040 b,26.0,Sozzetti 2006,26.0,http://adsabs.harvard.edu/abs/2006A%26A...449..417S
HD 81688 b,81.0,Sato 2008,24.0,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
HD 82886 b,28.0,Johnson 2011,7.7,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 82943 b,155.0,Tan 2013,4.09,http://adsabs.harvard.edu/abs/2013ApJ...777..101T
HD 82943 c,155.0,Tan 2013,4.09,http://adsabs.harvard.edu/abs/2013ApJ...777..101T
HD 82943 d,,,,
HD 83443 b,51.0,Butler 2006,9.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 8535 b,45.0,Naef 2010,2.49,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 85512 b,185.0,Pepe 2011,0.77,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 8574 b,128.0,Wittenmyer 2009,14.2,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 86081 b,26.0,Johnson 2006,3.2,http://adsabs.harvard.edu/abs/2006ApJ...647..600J
HD 86226 b,,,,
HD 86264 b,37.0,Fischer 2009,26.2,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 8673 b,,,,
HD 87883 b,69.0,Fischer 2009,9.2,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 88133 b,21.0,Butler 2006,6.2,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 89307 b,59.0,Fischer 2009 (corrected: priv. comm.),9.1,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 90156 b,66.0,Mordasini 2011,1.23,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M
HD 93083 b,16.0,Lovis 2005,2.0,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L
HD 93385 b,,,,
HD 93385 c,,,,
HD 9446 b,79.0,Hebrard 2010,15.1,http://adsabs.harvard.edu/abs/2010A&A...513A..69H
HD 9446 c,79.0,Hebrard 2010,15.1,http://adsabs.harvard.edu/abs/2010A&A...513A..69H
HD 95089 b,22.0,Johnson 2010,5.7,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 96063 b,15.0,Johnson 2011,5.4,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 96127 b,50.0,Gettel 2012,50.0,http://adsabs.harvard.edu/abs/2012ApJ...745...28G
HD 96167 b,47.0,Peek 2009,4.6,http://adsabs.harvard.edu/abs/2009PASP..121..613P
HD 96700 b,,,,
HD 96700 c,,,,
HD 97658 b,,Dragomir 2013,2.78,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D
HD 98219 b,17.0,Johnson 2011,3.6,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 98649 b,,,,
HD 99109 b,41.0,Butler 2006,6.3,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 99492 b,51.0,Butler 2006,3.6,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 99706 b,24.0,Johnson 2011,3.7,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HIP 107773 b,,,,
HIP 109384 b,,,,
HIP 109600 b,,,,
HIP 11915,,,,
HIP 12961 b,46.0,Forveille 2011,3.9,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F
HIP 14810 b,53.0,Wright 2009,2.28543,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W
HIP 14810 c,53.0,Wright 2009,2.28543,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W
HIP 14810 d,53.0,Wright 2009,2.28543,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W
HIP 5158 b,57.0,Lo Curto 2010,2.47,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HIP 5158 c,,,,
HIP 57050 b,37.0,Haghighipour 2010,9.23,http://adsabs.harvard.edu/abs/2010ApJ...715..271H
HIP 57274 b,99.0,Fischer 2012,3.15,http://adsabs.harvard.edu/abs/2012ApJ...745...21F
HIP 57274 c,99.0,Fischer 2012,3.15,http://adsabs.harvard.edu/abs/2012ApJ...745...21F
HIP 57274 d,99.0,Fischer 2012,3.15,http://adsabs.harvard.edu/abs/2012ApJ...745...21F
HIP 65407 b,,,,
HIP 65407 c,,,,
HIP 67537 b,,,,
HIP 75458 b,,,,
HIP 79431 b,13.0,Apps 2010,3.9,http://adsabs.harvard.edu/abs/2010PASP..122..156A
HIP 91258 b,27.0,Moutou 2013,,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HR 810 b,,,,
kappa CrB b,,Bonsor 2013,,http://adsabs.harvard.edu/abs/2013MNRAS.431.3025B
Kapteyn's b,,,,
Kapteyn's c,,,,
KELT-6 c,,,,
xi Aql b,26.0,Sato 2008,22.3,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
mu Ara b,170.0,Pepe 2007,4.7,http://adsabs.harvard.edu/abs/2007A%26A...462..769P
mu Ara c,170.0,Pepe 2007,4.7,http://adsabs.harvard.edu/abs/2007A%26A...462..769P
mu Ara d,170.0,Pepe 2007,1.73,http://adsabs.harvard.edu/abs/2007A%26A...462..769P
mu Ara e,170.0,Pepe 2007,1.73,http://adsabs.harvard.edu/abs/2007A%26A...462..769P
mu Leo b,,Lee 2014,,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L
NGC 2423 3 b,46.0,Lovis 2007,18.3,http://adsabs.harvard.edu/abs/2007A&A...472..657L
NGC 4349 127 b,20.0,Lovis 2007,12.6,http://adsabs.harvard.edu/abs/2007A&A...472..657L
nu Oph b,,,,
nu Oph c,,,,
omega Ser b,123.0,Sato 2013,17.0,http://arxiv.org/abs/1304.4328
omicron CrB b,85.0,Sato 2012,16.4,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
omicron UMa b,26.0,Sato 2012,7.6,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
SAND364 b,,,,
tau Boo b,98.0,Brogi 2012,62.0,http://adsabs.harvard.edu/abs/2012Natur.486..502B
TYC+1422-614-1 b,,,,
TYC+1422-614-1 c,,,,
ups And b,,,,
ups And c,,,,
ups And d,,,,
ups And e,,,,
WASP-41 c,100.0,Neveu-VanMalle 2015,,http://adsabs.harvard.edu/abs/2016A%26A...586A..93N
WASP-47 c,46.0,Neveu-VanMalle 2016,10.6,http://adsabs.harvard.edu/abs/2016A%26A...586A..93N
WASP-94 B b,21.0,Neveu-VanMalle 2014,7.16,http://adsabs.harvard.edu/abs/2014A%26A...572A..49N
XO-2S b,63.0,Desidera 2014,3.1,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D
XO-2S c,63.0,Desidera 2014,3.1,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D
GJ 649 b,44.0,Johnson 2010,4.2,http://adsabs.harvard.edu/abs/2010PASP..122..149J
GJ 649 c,,,,
HD 110014 b,,,,
HD 110014 c,,,,
HD 117618 b,57.0,Butler 2006,5.5,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 117618 c,,,,
HD 3651 b,202.0,Wittenmyer 2009,6.3,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 3651 c,,,,
HD 52265 b,28.0,Butler 2006,10.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 52265 c,,,,
HD 65216 b,70.0,Mayor 2004,6.8,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 65216 c,,,,
HD 85390 b,58.0,Mordasini 2011,1.15,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M
HD 85390 c,,,,
HD 89744 b,92.0,Wittenmyer 2009,15.2,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 89744 c,,,,
HD 92788 b,58.0,Butler 2006,7.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 92788 c,,,,
BD +73 0275 b,,,,
GJ 623 b,,,,
HIP 103019 b,,,,
HD 10844 b,,,,
HD 131664 b,41.0,Moutou 2009,4.0,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 132032 b,,,,
HD 134169 b,,,,
HD 137510 b,,,,
HD 14348 b,,,,
HD 14651 b,,,,
HD 154697 b,,,,
HD 164427 b,,,,
HD 16702 b,,,,
HD 167215 b,,,,
HD 16760 b,27.0,Sato 2009,4.3,http://adsabs.harvard.edu/abs/2009ApJ...703..671S
HD 167665 b,,,,
HD 17289 b,,,,
HD 18757 b,,,,
HD 189310 b,,,,
HD 209262 b,,,,
HD 30246 b,,,,
HD 30501 b,,,,
HD 3277 b,,,,
HD 43848 b,,,,
HD 4747 b,,,,
HD 51813 b,,,,
HD 52756 b,,,,
HD 53680 b,,,,
HD 56709 b,,,,
HD 6664 b,,,,
HD 72946 b,,,,
HD 74014 b,,,,
HD 89707 b,,,,
HD 92320 b,,,,
8 Umi b,26.0,Lee 2015,,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
Aldebaran b,,,,
BD -06 1339 b,,,,
BD -06 1339 c,,,,
BD -06 1339 d,,,,
BD +15 2375 b,,,,
BD +15 2940 b,,,,
beta Cnc b,,,,
beta Umi b,,,,
eta Cet b,,Trifonov 2014,15.28,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T
eta Cet c,,Trifonov 2014,,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T
GJ 15 A b,116.0,Howard 2014,1.93,http://adsabs.harvard.edu/abs/2014ApJ...794...51H
GJ 3293 b,145.0,Astudillo-Defru 2015,2.86,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
GJ 3293 d,,,,
GJ 3341 b,135.0,Astudillo-Defru 2015,2.86,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
GJ 3998 b,,,,
GJ 3998 c,,,,
HAT-P-13 c,105.0,Winn 2010,3.6,http://adsabs.harvard.edu/abs/2010ApJ...718..575W
HD 10442 b,43.0,Giguere 2015,5.98,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 113337 b,266.0,Borgniet 2013,,http://adsabs.harvard.edu/abs/2013arXiv1310.1994B
HD 11755 b,20.0,Lee 2015,,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 119445 b,,,,
HD 12648 b,28.0,Lee 2015,29.8,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 128356 b,,,,
HD 133131 A b,,,,
HD 133131 A c,,,,
HD 133131 B b,,,,
HD 14067 b,,,,
HD 141399 b,,,,
HD 141399 c,,,,
HD 141399 d,,,,
HD 141399 e,,,,
HD 142245 b,19.0,Johnson 2011,4.8,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 143761 b,,,,
HD 143761 c,,,,
HD 147873 b,,,,
HD 147873 c,,,,
HD 155233 b,,Wittenmyer 2016,10.9,http://adsabs.harvard.edu/abs/2016MNRAS.455.1398W
HD 156668 b,86.0,Howard 2011,1.74,http://adsabs.harvard.edu/abs/2011ApJ...726...73H
HD 1605 b,92.0,Harakawa 2015,6.4,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 1605 c,92.0,Harakawa 2015,6.4,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 162004 b,,,,
HD 164595 b,,,,
HD 165155 b,,,,
HD 1666 b,99.0,Harakawa 2015,35.6,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 175370 b,,,,
HD 208527 b,24.0,Lee 2013,,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L
HD 216536 b,47.0,Niedzielski 2015,23.0,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
HD 222076 b,,,,
HD 224538 b,,,,
HD 24064 b,20.0,Lee 2015,34.5,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 2952 b,,Sato 2013,12.4,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S
HD 32963 b,109.0,Rowan 2016,2.64,http://adsabs.harvard.edu/abs/2016ApJ...817..104R
HD 33564 b,15.0,Galland 2005,6.7,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G
HD 33844 b,67.0,Wittenmyer 2016,,http://adsabs.harvard.edu/abs/2016ApJ...818...35W
HD 33844 c,67.0,Wittenmyer 2016,,http://adsabs.harvard.edu/abs/2016ApJ...818...35W
HD 41004 B b,,,,
HD 42618 b,,,,
HD 47366 b,,,,
HD 47366 c,,,,
HD 67087 b,51.0,Harakawa 2015,11.8,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 67087 c,,,,
HD 68402 b,,,,
HD 72892 b,,,,
HD 75784 b,41.0,Giguere 2015,4.63,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 75784 c,,,,
HD 86950,,,,
HD 87646A b,,,,
HD 87646A c,,,,
HD 9174 b,,,,
HD 95127 b,41.0,Niedzielski 2015,50.9,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
HD 95872 b,7.0,Endl 2016,7.9,http://adsabs.harvard.edu/abs/2016ApJ...818...34E
HIP 105854 b,49.0,Jones 2014,,http://adsabs.harvard.edu/abs/2014A%26A...566A.113J
HIP 63242 b,,,,
HIP 65891 b,,,,
HIP 67851 b,60.0,Jones 2014,9.4,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J
HIP 67851 c,,,,
HIP 68468 b,,,,
HIP 68468 c,,,,
HIP 74890 b,,,,
HIP 8541 b,,,,
HIP 97233 b,41.0,Jones 2014,10.1,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J
KELT-4A b,,,,
Kepler-25 d,,,,
Kepler-424 c,27.0,Endl 2014,,http://adsabs.harvard.edu/abs/2014ApJ...795..151E
Kepler-454 c,,,,
Kepler-48 e,,,,
Kepler-68 d,52.0,Gilliland 2013,,http://adsabs.harvard.edu/abs/2013ApJ...766...40G
Kepler-88 c,,,,
Kepler-94 c,,,,
KOI-1299 c,,,,
Pr 0201 b,,,,
Pr 0211 b,,,,
Pr 0211 c,,,,
sig Per b,,,,
tau Gem b,,,,
TYC-3667-1280-1 b,,,,
WASP-53 c,,,,
WASP-157 b,,,,
YBP1194 b,,,,
YBP1514 b,,,,
HD 110833 b,,,,
HD 112758 b,,,,
HD 127506 b,,,,
HD 140913 b,,,,
HD 174457 b,,,,
HD 18445 b,,,,
HD 29587 b,,,,
HD 30339 b,,,,
HD 65430 b,,,,
EPIC 248435473 e,,,,
EPIC 248435473 d,,,,
EPIC 248435473 c,,,,
EPIC 248435473 b,,,,
HATS-59 c,,,,
24 Boo b,,,,
gamma Lib b,,,,
gamma Lib c,,,,
eps Ind A b,,,,
HD 158996 b,,,,
HD 215152 e,,,,
HD 215152 b,,,,
TYC 3318-01333-1 b,,,,
HD 238914 b,,,,
HIP 57050 c,,,,
HD 147379 b,,,,
HD 176986 c,,,,
HD 176986 b,,,,
HD 76920 b,,,,
Ross 128 b,,,,
HD 113996 b,,,,
HD 111591 b,,,,
HD 40956 b,,,,
HD 34445 g,,,,
HD 34445 f,,,,
HD 34445 e,,,,
HD 34445 d,,,,
HD 34445 c,,,,
GJ 3942 b,,,,
EPIC 210894022 b,,,,
YZ Cet d,,,,
YZ Cet c,,,,
YZ Cet b,,,,
tau Cet g,,,,
tau Cet h,,,,
HD 208897 b,,,,
K2-18 c,,,,
BD +03 2562 b,,,,
TYC 4282-605-1 b,,,,
HD 42012 b,,,,
HD 29021 b,,,,
HD 3167 d,,,,
HD 27894 d,,,,
HD 27894 c,,,,
HD 20794 e,,,,
AS 205 A b,,,,
GJ 625 b,,,,
Kepler-19 d,,,,
GJ 3323 b,,,,
GJ 3323 c,,,,
GJ 3138 d,,,,
GJ 273 c,,,,
GJ 273 b,,,,
GJ 3138 c,,,,
GJ 3138 b,,,,
GJ 3293 e,,,,
HD 17674 b,,,,
Lalande 21185 b,,,,
TAP 26 b,,,,
HD 86950 b,,,,
HD 87646 A c,,,,
