planet_name,NOBS,REF,RMS,URL
GJ 832 b,32.0,Wittenmyer 2014,5.5,http://adsabs.harvard.edu/abs/2014ApJ...791..114W
GJ 832 c,109.0,Wittenmyer 2014,,http://adsabs.harvard.edu/abs/2014ApJ...791..114W
GJ 849 b,27.0,Bonfils 2013,4.8,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B
GJ 849 c,,,,
GJ 86 A b,,,,
GJ 876 b,155.0,Rivera 2010,2.9604,http://adsabs.harvard.edu/abs/2010ApJ...719..890R
GJ 876 c,155.0,Rivera 2010,4.59,http://adsabs.harvard.edu/abs/2010ApJ...719..890R
GJ 876 d,155.0,Rivera 2010,2.9604,http://adsabs.harvard.edu/abs/2010ApJ...719..890R
GJ 876 e,115.0,Rivera 2010,2.9604,http://adsabs.harvard.edu/abs/2010ApJ...719..890R
HAT-P-17 c,,,,
HD 100655 b,45.0,Omiya 2012,11.2,http://adsabs.harvard.edu/abs/2012PASJ...64...34O
HD 100777 b,29.0,Naef 2007,1.7,http://adsabs.harvard.edu/abs/2007A%26A...470..721N
HD 10180 c,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 10180 d,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 10180 e,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 10180 f,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 10180 g,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 10180 h,190.0,Lovis 2011,1.27,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 101930 b,16.0,Lovis 2005,1.8,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L
HD 102117 b,44.0,Butler 2006,3.8,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 102195 b,19.0,Melo 2007,6.1,http://adsabs.harvard.edu/abs/2007A%26A...467..721M
HD 102272 b,37.0,Niedzielski 2008,15.4,http://adsabs.harvard.edu/abs/2009ApJ...693..276N
HD 102272 c,,,,
HD 102329 b,20.0,Johnson 2011,7.2,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 102365 b,149.0,Tinney 2011,2.53,http://adsabs.harvard.edu/abs/2011ApJ...727..103T
HD 102956 b,27.0,Johnson 2010,6.0,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J
HD 103197 b,58.0,Mordasini 2011,1.4,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M
HD 103720 b,,,,
HD 103774 b,103.0,Lo Curto 2013,11.43,http://arxiv.org/abs/1301.2741
HD 104067 b,88.0,Segransan 2011,4.6,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HD 104985 b,52.0,Sato 2008,26.6,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
HD 106252 b,110.0,Wittenmyer 2009,12.2,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 106270 b,20.0,Johnson 2011,8.4,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 10647 b,28.0,Butler 2006,9.4,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 106515 A b,,,,
HD 10697 b,131.0,Wittenmyer 2009,8.1,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 107148 b,35.0,Butler 2006,4.4,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 108147 b,54.0,Butler 2006,12.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 108341 b,24.0,Moutou 2015,,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M
HD 108863 b,24.0,Johnson 2011,5.1,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 108874 b,55.0,Wright 2009,4.02867,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 108874 c,55.0,Wright 2009,4.02867,http://adsabs.harvard.edu/abs/2005ApJ...632..638V
HD 109246 b,58.0,Boisse 2010,7.7,http://adsabs.harvard.edu/abs/2010A%26A...523A..88B
HD 109271 b,,,,
HD 109271 c,,,,
HD 109749 b,21.0,Fischer 2006,2.73761,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F
HD 111232 b,38.0,Mayor 2004,7.5,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 113538 b,,,,
HD 113538 c,,,,
HD 114386 b,58.0,Mayor 2004,10.2,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 114613 b,223.0,Wittenmyer 2014,3.9,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W
HD 114729 b,42.0,Butler 2006,4.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 114762 b,74.0,Kane 2011,27.42,http://adsabs.harvard.edu/abs/2011ApJ...735L..41K
HD 114783 b,88.0,Wittenmyer 2009,6.3,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 11506 b,26.0,Fischer 2007,10.8,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
HD 11506 c,107.0,Giguere 2015,4.8,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 116029 b,21.0,Johnson 2011,6.9,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 117207 b,43.0,Butler 2006,4.4,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 118203 b,43.0,Da Silva 2006,18.1,http://adsabs.harvard.edu/abs/2006A%26A...446..717D
HD 11964 b,119.0,Wright 2009,3.06749,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 11964 c,119.0,Wright 2009,3.06749,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 11977 b,,Setiawan 2005,29.1,http://adsabs.harvard.edu/abs/2005A%26A...437L..31S
HD 120084 b,,Sato 2013,5.8,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S
HD 121504 b,100.0,Mayor 2004,11.6,http://adsabs.harvard.edu/abs/2004A&A...415..391M
HD 122562 b,,,,
HD 12484 b,,,,
HD 125595 b,117.0,Segransan 2011,3.22,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HD 125612 b,19.0,Lo Curto 2010 (corrected: priv. comm.),3.7,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HD 125612 c,77.0,Lo Curto 2010 (corrected: priv. comm.),3.7,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HD 125612 d,,,,
HD 126525 b,,,,
HD 12661 b,107.0,Wright 2009,5.13061,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 12661 c,107.0,Wright 2009,5.13061,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 126614 b,,,,
HD 128311 b,154.0,Wittenmyer 2009,16.9,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 128311 c,154.0,Wittenmyer 2009,16.9,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 129445 b,,,,
HD 130322 b,47.0,Wittenmyer 2009,8.9,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 131496 b,43.0,Johnson 2011,6.3,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 13189 b,13.0,Hatzes 2005,54.5,http://adsabs.harvard.edu/abs/2005A&A...437..743H
HD 132406 b,21.0,Da Silva 2007,7.5,http://adsabs.harvard.edu/abs/2007A%26A...473..323D
HD 132563 B b,47.0,Desidera 2011,12.7,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D
HD 134060 b,,,,
HD 134060 c,,,,
HD 134113 b,,,,
HD 134606 b,,,,
HD 134606 c,,,,
HD 134606 d,,,,
HD 134987 b,93.0,Jones 2010,3.3,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J
HD 134987 c,93.0,Jones 2010,3.3,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J
HD 136352 b,,,,
HD 136352 c,,,,
HD 136352 d,,,,
HD 136418 b,25.0,Johnson 2010,5.0,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 137388 b,62.0,Dumusque 2011,2.39,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D
HD 13808 b,,,,
HD 13808 c,,,,
HD 13908 b,77.0,Moutou 2013,,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
