star,Fe/H,Ms_padova,Ms_basti
HD 30246,0.06,1.01,0.99
HD 30339,0.28,1.16,1.17
HD 30501,-0.02,0.82,0.81
HD 30562,0.26,1.25,1.18
HD 30669,0.22,0.94,0.91
HD 31253,0.21,1.26,1.24
HD 31527,-0.17,1.02,1.03
HD 3277,-0.2,0.88,0.87
HD 32963,0.09,1.02,0.99
HD 33283,0.4,1.43,1.45
HD 33564,0.03,1.28,1.28
HD 34445,0.16,1.11,1.09
HD 35759,0.0,1.17,1.17
HD 3651,0.16,0.88,0.86
HD 38283,-0.07,1.11,1.12
HD 38858,-0.25,0.99,0.97
HD 39091,0.06,1.11,1.08
HD 39194,-0.42,0.81,0.81
HD 40307,-0.22,0.74,0.74
HD 40979,0.07,1.18,1.16
HD 41004 A,0.0,0.84,0.83
HD 41004 B,0.0,0.84,0.83
HD 4113,0.24,1.02,0.99
HD 4208,-0.21,0.96,0.94
HD 42618,-0.05,1.01,1.01
HD 4308,-0.25,0.96,0.97
HD 43197,0.32,0.98,0.94
HD 43691,0.28,1.32,1.32
HD 44219,0.11,1.1,1.06
HD 45184,0.04,1.06,1.04
HD 45350,0.36,1.02,0.98
HD 45364,-0.08,0.91,0.9
HD 46375,0.29,0.91,0.9
HD 47186,0.25,1.02,0.99
HD 4747,-0.15,0.88,0.86
HD 48265,0.38,1.22,1.22
HD 49674,0.42,1.02,0.99
HD 50499,0.33,1.22,1.21
HD 50554,-0.06,1.09,1.1
HD 51608,0.11,0.93,0.88
HD 51813,0.02,1.07,1.08
HD 52265,0.23,1.21,1.16
HD 52756,0.02,0.82,0.81
HD 564,-0.29,1.04,1.03
HD 56709,0.01,1.37,1.36
HD 60532,-0.09,1.53,1.44
HD 63765,-0.15,0.91,0.9
HD 6434,-0.51,0.91,0.92
HD 65216,-0.18,0.96,0.94
HD 65430,-0.03,0.84,0.83
HD 66428,0.28,1.04,1.01
HD 6664,-0.34,0.98,0.99
HD 67087,0.1,1.3,1.27
HD 6718,-0.11,1.01,1.01
HD 68988,0.38,1.14,1.11
HD 69830,0.08,0.94,0.94
HD 70642,0.19,1.02,1.0
HD 72659,0.02,1.07,1.07
HD 72946,0.12,0.99,0.99
HD 73256,0.2,0.93,0.91
HD 73267,0.14,0.91,0.89
HD 73526,0.33,1.09,1.06
HD 74156,0.14,1.28,1.27
HD 7449,-0.21,1.07,1.06
HD 75289,0.21,1.21,1.18
HD 75898,0.3,1.27,1.26
HD 76700,0.39,1.07,1.03
HD 79498,0.24,1.06,1.01
HD 80606,0.29,0.98,0.95
HD 81040,-0.12,0.98,0.96
HD 82943,0.3,1.14,1.13
HD 8535,-0.06,1.14,1.15
HD 85390,0.02,0.84,0.83
HD 85512,0.06,0.72,0.73
HD 8574,-0.03,1.15,1.16
HD 86226,0.0,1.06,1.06
HD 86264,0.31,1.39,1.4
HD 8673,0.08,1.29,1.28
HD 89307,-0.15,1.04,1.05
HD 89707,-0.45,1.01,1.02
HD 89744,0.3,1.5,1.53
HD 90156,-0.24,0.96,0.94
HD 92320,-0.19,0.96,0.94
HD 92788,0.28,1.04,1.02
HD 93385,-0.02,1.13,1.15
HD 96700,-0.29,0.99,0.96
HD 98649,0.06,1.01,1.0
HD 99492,0.24,0.82,0.82
HIP 68468,0.09,1.07,1.06
HR 810,0.06,1.16,1.16
eps Eridani,-0.04,0.81,0.8
tau Boo,0.17,1.3,1.3
tau Cet,-0.39,0.84,0.83
ups And,0.13,1.3,1.28
